latitud,longitud,temperatura,ph,tiempo
-2.14567853,-79.96293728,"26,49","7,27",2026-08-20 14:18:11
-2.14568645,-79.96294776,"26,65","7,24",2026-08-20 14:18:59
-2.14569578,-79.96295507,"26,49","7,70",2026-08-20 14:19:24
-2.14570051,-79.96296389,"26,45","6,48",2026-08-20 14:19:51
-2.14570603,-79.96295159,"26,38","7,63",2026-08-20 14:20:06
-2.1457029,-79.96295826,"26,42","7,20",2026-08-20 14:20:22
-2.14569478,-79.96295692,"26,60","7,22",2026-08-20 14:20:40
-2.14569837,-79.96296019,"26,66","7,26",2026-08-20 14:21:00
-2.14570323,-79.96297144,"26,68","7,19",2026-08-20 14:21:13
-2.14571433,-79.96297972,"26,74","6,45",2026-08-20 14:21:24
-2.14572486,-79.96298567,"26,59","8,04",2026-08-20 14:21:38
-2.14573372,-79.96299163,"26,50","7,21",2026-08-20 14:21:55
-2.14572522,-79.96299069,"26,58","7,09",2026-08-20 14:22:15
-2.14571799,-79.96299618,"26,62","6,79",2026-08-20 14:22:31
-2.14571334,-79.96300381,"26,61","7,12",2026-08-20 14:22:36
-2.14570665,-79.96300029,"26,56","7,10",2026-08-20 14:22:43
-2.14569767,-79.96299365,"26,71","6,55",2026-08-20 14:22:49
-2.1457056,-79.96299374,"26,78","7,24",2026-08-20 14:23:03
-2.14571034,-79.96299073,"26,90","7,20",2026-08-20 14:23:15
-2.14570672,-79.96297783,"26,86","7,23",2026-08-20 14:23:29
-2.14570851,-79.96298187,"26,95","7,55",2026-08-20 14:24:02
-2.14571678,-79.96297202,"26,85","7,22",2026-08-20 14:24:18
-2.14572783,-79.96296694,"26,90","7,30",2026-08-20 14:24:27
-2.14574048,-79.9629607,"26,88","7,30",2026-08-20 14:24:37
-2.14574344,-79.96294901,"26,51","7,30",2026-08-20 14:24:53
-2.14574886,-79.96293889,"26,54","6,76",2026-08-20 14:25:09
-2.1457464,-79.96294376,"26,46","8,18",2026-08-20 14:25:39
-2.14573207,-79.96294139,"26,47","7,92",2026-08-20 14:25:49
-2.14571905,-79.96294288,"26,39","7,29",2026-08-20 14:25:57
-2.14570637,-79.9629493,"26,37","7,26",2026-08-20 14:26:04
-2.14569488,-79.96294656,"26,43","8,16",2026-08-20 14:26:14
-2.14569128,-79.96293689,"26,63","6,23",2026-08-20 14:26:30
