Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"3,5033E-05","-0,00012248","0,0036387",0,0,0,"10,416","0,037767","3,4516E-06","5,8428E-08","0,11162","-0,00018002","0,1293",0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/base_link.STL,,Carcasa-3;Tapa superior V2-2;Aro_con_flotador-1;U2-Thruster-6;U2-Thruster-7,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor_izq_link,"-7,6704E-10","5,0396E-05","0,0090544",0,0,0,"0,0094248","9,4248E-07","6,2242E-37","-6,9294E-23","9,4248E-07","-1,8138E-22","4,7124E-07",0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/motor_izq_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/motor_izq_link.STL,,dummy_motor-2,Origin_motor_izq_joint,,motor_izq_joint,continuous,"0,00023088","0,17753","-0,0789","1,5708",0,"1,5708",base_link,0,0,1,100,100,,,,,"0,1",0,,,,
motor_der_link,"-7,6704E-10","5,0396E-05","-0,0031306",0,0,0,"0,0094248","9,4248E-07","4,7181E-37","3,2709E-23","9,4248E-07","-1,9707E-22","4,7124E-07",0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/motor_der_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://RobotAcuaticoVROS2Urdf/meshes/motor_der_link.STL,,dummy_motor-1,Origin_motor_der_joint,,motor_der_joint,continuous,"0,005363","-0,17753","-0,0789","1,5708",0,"1,5708",base_link,0,0,1,100,100,,,,,"0,1",0,,,,
