Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00247679853577187","-0,00077962179272939","-0,00432622678266853",0,0,0,"3,41290710272624","0,00840707132075911","2,14684779699159E-06","-6,72966552507175E-08","0,0181284312209443","8,51824086072833E-05","0,0199148035488707",0,0,0,0,0,0,package://CarcasaURDF/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/base_link.STL,,Tapa-1;CarcasaP1Agujeros-1;CarcasaP2Agujeros-1;AroMotores-1;AroMotores-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
foam_link,0,"2,22044604925031E-16","-1,73472347597681E-18",0,0,0,"2,71927340458814","0,0366099177551457","-2,46519032881566E-32","1,22786122568413E-16","0,0366099177551457",0,"0,0717772609691574",0,0,0,0,0,0,package://CarcasaURDF/meshes/foam_link.STL,"0,725490196078431","0,717647058823529",1,1,0,0,0,0,0,0,package://CarcasaURDF/meshes/foam_link.STL,,Espuma EVA-1,Origin_foam_joint,,foam_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bottomBase_link,"-0,00248764974775226","-0,000629010826658893","-0,0950407029704326",0,0,0,"0,406559602504078","0,000562654852459843","2,38844232884406E-20","1,38367484856281E-18","0,000562654852459843","8,00421679368054E-21","0,000967012096870056",0,0,0,0,0,0,package://CarcasaURDF/meshes/bottomBase_link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/bottomBase_link.STL,,CarcasaP3-1,Origin_bottomBase_joint,,bottomBase_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
leftBase_link,"-0,00434079150531524","-0,158378984756045","-0,0760185536481058",0,0,0,"0,0810247195823317","3,45070036698765E-05","1,09507787768766E-10","-2,92453554672545E-08","4,79493558085756E-05","-3,9529089654652E-11","4,56633541089411E-05",0,0,0,0,0,0,package://CarcasaURDF/meshes/leftBase_link.STL,"0,247058823529412","0,247058823529412","0,247058823529412",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/leftBase_link.STL,,U2-Thruster-2/U2-Thruster.step-1/Component1.step-1/Component1-0.step-1,Origin_leftBase_joint,,leftBase_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_left_link,"7,67036545390454E-10","5,03959717293723E-05","0,00649691785898699",0,0,0,"0,024630086404144","4,49088575435559E-06","-3,80503081774145E-23","1,64838981769897E-21","4,49088575435559E-06","-1,32330638996121E-21","2,41374846760611E-06",0,0,0,0,0,0,package://CarcasaURDF/meshes/motor_left_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/motor_left_link.STL,,MotorJOINT-2,Origin_motor_left_joint,Axis_motor_left_joint,motor_left_joint,continuous,"-0,0049846","-0,15838","-0,0769","1,5708",0,"1,5708",leftBase_link,0,0,-1,100,100,,,,,"0,1","0,1",,,,
rightBase_link,"-0,00494079150530791","0,157621015243954","-0,0760185536481053",0,0,0,"0,0810247195823307","3,45070036698762E-05","1,09507787893645E-10","-2,92453554672925E-08","4,79493558085755E-05","-3,95290896990929E-11","4,56633541089408E-05",0,0,0,0,0,0,package://CarcasaURDF/meshes/rightBase_link.STL,"0,247058823529412","0,247058823529412","0,247058823529412",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/rightBase_link.STL,,U2-Thruster-1/U2-Thruster.step-1/Component1.step-1/Component1-0.step-1,Origin_rightBase_joint,,rightBase_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_right_link,"7,67034880055917E-10","5,03959717134128E-05","0,00649691785898256",0,0,0,"0,024630086404144","4,49088575435559E-06","4,19104843693554E-22","-4,37290110142869E-21","4,49088575435559E-06","7,28010828788919E-21","2,41374846760611E-06",0,0,0,0,0,0,package://CarcasaURDF/meshes/motor_right_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CarcasaURDF/meshes/motor_right_link.STL,,MotorJOINT-1,Origin_motor_right_joint,Axis_motor_right_joint,motor_right_joint,continuous,"-0,0055846","0,15762","-0,0769","1,5708",0,"1,5708",rightBase_link,0,0,-1,100,100,,,,,"0,1","0,1",,,,
